Age,Gender,Participant ID,Test ID,PAM,# Box,State,Within Range?,Box Collision?,Timestamp,End!
23,Female,13,0,0,1,1,Yes,No,4.447,n/a
23,Female,13,0,0,2,1,Yes,No,8.474,n/a
23,Female,13,0,0,3,1,Yes,No,12.594,n/a
23,Female,13,0,0,4,3,n/a,Yes,17.223,n/a
23,Female,13,0,0,5,1,Yes,No,21.181,n/a
23,Female,13,0,0,6,1,Yes,No,25.364,n/a
23,Female,13,0,0,7,3,n/a,Yes,29.806,n/a
23,Female,13,0,0,8,1,Yes,No,33.736,n/a
23,Female,13,0,0,9,1,Yes,No,37.803,n/a
23,Female,13,0,0,10,1,Yes,No,42.03,n/a
23,Female,13,0,n/a,n/a,n/a,n/a,n/a,47.193,End!
23,Female,13,1,4,1,1,Yes,No,4.191,n/a
23,Female,13,1,4,2,2,Yes,No,10.43,n/a
23,Female,13,1,4,3,1,Yes,No,14.575,n/a
23,Female,13,1,4,4,2,Yes,No,20.427,n/a
23,Female,13,1,4,5,1,Yes,No,24.669,n/a
23,Female,13,1,4,6,1,Yes,No,28.739,n/a
23,Female,13,1,4,7,3,n/a,Yes,33.363,n/a
23,Female,13,1,4,8,1,Yes,No,37.216,n/a
23,Female,13,1,4,9,2,Yes,No,42.941,n/a
23,Female,13,1,4,10,1,Yes,No,47.141,n/a
23,Female,13,1,4,11,1,Yes,No,51.446,n/a
23,Female,13,1,4,12,3,n/a,Yes,55.928,n/a
23,Female,13,1,4,13,3,n/a,Yes,60.125,n/a
23,Female,13,1,4,14,2,Yes,No,65.412,n/a
23,Female,13,1,4,15,1,Yes,No,69.686,n/a
23,Female,13,1,4,16,3,n/a,Yes,74.231,n/a
23,Female,13,1,4,17,1,Yes,No,78.068,n/a
23,Female,13,1,4,18,1,Yes,No,82.285,n/a
23,Female,13,1,4,19,2,Yes,No,87.933,n/a
23,Female,13,1,4,20,3,n/a,Yes,92.519,n/a
23,Female,13,1,n/a,n/a,n/a,n/a,n/a,97.315,End!
23,Female,13,2,3,1,3,n/a,Yes,4.562,n/a
23,Female,13,2,3,2,2,n/a,Yes,8.768,n/a
23,Female,13,2,3,3,1,Yes,No,12.734,n/a
23,Female,13,2,3,4,1,Yes,No,16.892,n/a
23,Female,13,2,3,5,2,n/a,Yes,21.38,n/a
23,Female,13,2,3,6,4,n/a,Yes,25.562,n/a
23,Female,13,2,3,7,4,n/a,Yes,29.798,n/a
23,Female,13,2,3,8,2,n/a,Yes,33.996,n/a
23,Female,13,2,3,9,1,Yes,No,37.873,n/a
23,Female,13,2,3,10,1,Yes,No,42.035,n/a
23,Female,13,2,3,11,1,Yes,No,46.226,n/a
23,Female,13,2,3,12,2,n/a,Yes,50.755,n/a
23,Female,13,2,3,13,1,Yes,No,54.663,n/a
23,Female,13,2,3,14,1,Yes,No,58.799,n/a
23,Female,13,2,3,15,1,Yes,No,62.915,n/a
23,Female,13,2,3,16,1,Yes,No,67.081,n/a
23,Female,13,2,3,17,3,n/a,Yes,71.746,n/a
23,Female,13,2,3,18,3,n/a,Yes,75.945,n/a
23,Female,13,2,3,19,2,n/a,Yes,80.133,n/a
23,Female,13,2,3,20,1,Yes,No,84.02,n/a
23,Female,13,2,n/a,n/a,n/a,n/a,n/a,89.109,End!
23,Female,13,3,2,1,2,Yes,No,4,n/a
23,Female,13,3,2,2,1,Yes,No,8.55,n/a
23,Female,13,3,2,3,1,Yes,No,12.684,n/a
23,Female,13,3,2,4,2,No,No,16,n/a
23,Female,13,3,2,5,1,Yes,No,20.994,n/a
23,Female,13,3,2,6,1,Yes,No,25.362,n/a
23,Female,13,3,2,7,2,No,No,29,n/a
23,Female,13,3,2,8,1,Yes,No,33.636,n/a
23,Female,13,3,2,9,1,Yes,No,37.862,n/a
23,Female,13,3,2,10,3,n/a,Yes,42.434,n/a
23,Female,13,3,2,11,1,Yes,No,46.222,n/a
23,Female,13,3,2,12,2,No,No,59,n/a
23,Female,13,3,2,13,1,Yes,No,54.597,n/a
23,Female,13,3,2,14,3,n/a,Yes,59.206,n/a
23,Female,13,3,2,15,3,n/a,Yes,63.419,n/a
23,Female,13,2,2,16,2,No,No,67,n/a
23,Female,13,3,2,17,1,Yes,No,71.425,n/a
23,Female,13,3,2,18,3,n/a,Yes,76.037,n/a
23,Female,13,3,2,19,1,Yes,No,80.073,n/a
23,Female,13,3,2,20,3,n/a,Yes,84.444,n/a
23,Female,13,3,n/a,n/a,n/a,n/a,n/a,89.249,End!
23,Female,13,4,5,1,1,Yes,No,4.29,n/a
23,Female,13,4,5,2,1,Yes,No,8.485,n/a
23,Female,13,4,5,3,2,Yes,No,12.678,n/a
23,Female,13,4,5,4,2,Yes,No,16.333,n/a
23,Female,13,4,5,5,1,Yes,No,19.706,n/a
23,Female,13,4,5,6,1,Yes,No,23.948,n/a
23,Female,13,4,5,7,2,Yes,No,28.255,n/a
23,Female,13,4,5,8,3,n/a,Yes,32.028,n/a
23,Female,13,4,5,9,1,Yes,No,35.767,n/a
23,Female,13,4,5,10,2,Yes,No,40.168,n/a
23,Female,13,4,5,11,1,Yes,No,43.677,n/a
23,Female,13,4,5,12,3,n/a,Yes,48.149,n/a
23,Female,13,4,5,13,3,n/a,Yes,52.339,n/a
23,Female,13,4,5,14,1,Yes,No,56.168,n/a
23,Female,13,4,5,15,1,Yes,No,60.406,n/a
23,Female,13,4,5,16,2,Yes,No,64.604,n/a
23,Female,13,4,5,17,1,Yes,No,68.216,n/a
23,Female,13,4,5,18,3,n/a,Yes,72.71,n/a
23,Female,13,4,5,19,3,n/a,Yes,76.931,n/a
23,Female,13,4,5,20,1,Yes,No,80.971,n/a
23,Female,13,4,n/a,n/a,n/a,n/a,n/a,85.95,End!
23,Female,13,5,1,1,1,Yes,No,4.277,n/a
23,Female,13,5,1,2,3,n/a,Yes,8.81,n/a
23,Female,13,5,1,3,1,Yes,No,12.622,n/a
23,Female,13,5,1,4,1,Yes,No,16.905,n/a
23,Female,13,5,1,5,2,Yes,No,21.149,n/a
23,Female,13,5,1,6,1,Yes,No,25.344,n/a
23,Female,13,5,1,7,3,n/a,Yes,29.831,n/a
23,Female,13,5,1,8,1,Yes,No,33.715,n/a
23,Female,13,5,1,9,2,Yes,No,38.082,n/a
23,Female,13,5,1,10,3,n/a,Yes,42.453,n/a
23,Female,13,5,1,11,2,Yes,No,46.349,n/a
23,Female,13,5,1,12,1,Yes,No,50.538,n/a
23,Female,13,5,1,13,1,Yes,No,54.657,n/a
23,Female,13,5,1,14,2,Yes,No,58.937,n/a
23,Female,13,5,1,15,1,Yes,No,63.22,n/a
23,Female,13,5,1,16,2,Yes,No,67.396,n/a
23,Female,13,5,1,17,1,Yes,No,71.566,n/a
23,Female,13,5,1,18,1,Yes,No,75.792,n/a
23,Female,13,5,1,19,3,n/a,Yes,80.323,n/a
23,Female,13,5,1,20,3,n/a,Yes,84.564,n/a
23,Female,13,5,n/a,n/a,n/a,n/a,n/a,89.386,End!
