Age,Gender,Participant ID,Test ID,PAM,# Box,State,Within Range?,Box Collision?,Timestamp,End!
24,Male,7,0,0,1,1,Yes,No,4.371,n/a
24,Male,7,0,0,1,1,No,No,4.705,n/a
24,Male,7,0,0,2,1,Yes,No,8.659,n/a
24,Male,7,0,0,2,1,No,No,8.892,n/a
24,Male,7,0,0,3,1,Yes,No,12.9,n/a
24,Male,7,0,0,3,1,No,No,13.183,n/a
24,Male,7,0,0,4,1,Yes,No,17.082,n/a
24,Male,7,0,0,5,3,n/a,Yes,21.511,n/a
24,Male,7,0,0,6,1,Yes,No,25.549,n/a
24,Male,7,0,0,7,1,Yes,No,29.787,n/a
24,Male,7,0,0,8,3,n/a,Yes,34.185,n/a
24,Male,7,0,0,8,3,No,No,34.364,n/a
24,Male,7,0,0,9,1,No,No,38.296,n/a
24,Male,7,0,0,9,1,n/a,Yes,38.411,n/a
24,Male,7,0,0,10,1,Yes,No,42.407,n/a
24,Male,7,0,n/a,n/a,n/a,n/a,n/a,47.467,End!
24,Male,7,1,2,1,1,Yes,No,4.407,n/a
24,Male,7,1,2,3,1,Yes,No,12.943,n/a
24,Male,7,1,2,4,1,Yes,No,17.074,n/a
24,Male,7,1,2,4,1,No,No,17.34,n/a
24,Male,7,1,2,5,3,n/a,Yes,21.534,n/a
24,Male,7,1,2,7,1,Yes,No,29.798,n/a
24,Male,7,1,2,8,1,No,No,34.069,n/a
24,Male,7,1,2,8,4,n/a,Yes,34.184,n/a
24,Male,7,1,2,10,1,No,No,42.538,n/a
24,Male,7,1,2,10,4,n/a,Yes,42.651,n/a
24,Male,7,1,2,11,1,Yes,No,46.703,n/a
24,Male,7,1,2,12,1,Yes,No,50.935,n/a
24,Male,7,1,2,13,1,Yes,No,55.215,n/a
24,Male,7,1,2,14,1,No,No,59.474,n/a
24,Male,7,1,2,14,4,n/a,Yes,59.591,n/a
24,Male,7,1,2,16,1,Yes,No,67.914,n/a
